Sequence number,ACO,GA,EMC,PERM,DRL
1,Less than a second,"30,492",9374,Less than a second,Less than a second
2,Less than a second,"30,491",6929,Less than a second,Less than a second
3,Less than a second,"20,400",7202,6 s,Less than a second
4,4 s,"501,339","12,447",Less than a second,Less than a second
5,1 min,"126,547","165,791",3 min,25 s
6,15 s,"592,887","74,613",3 s,Less than a second
7,20 min,"208,781","203,729",7 s,Less than a second
8,1.5 h,"187,393","564,809",78 h,48 min
9,A day,,"44,029",64 s,16 s
10,12 h,,,1 h,4 min
11,10 h,,,9 min,1 min